timestamp,ds,y,Temperatur_C,Windstaerke _km_h,Wochentag,Monate,dunkel,Regen,Schnee,Gewitter,Glätte,ferien,feiertag
2016-03-21T00:00,2016-03-21 00:00,33,6,13,0,3,2,2,0,0,0,1,0
2016-03-21T01:00,2016-03-21 01:00,11,6,13,0,3,2,0,0,0,0,1,0
2016-03-21T02:00,2016-03-21 02:00,8,6,11,0,3,2,2,0,0,0,1,0
2016-03-21T03:00,2016-03-21 03:00,2,6,13,0,3,2,0,0,0,0,1,0
2016-03-21T04:00,2016-03-21 04:00,14,6,11,0,3,2,0,0,0,0,1,0
2016-03-21T05:00,2016-03-21 05:00,43,5,9,0,3,2,2,0,0,0,1,0
2016-03-21T06:00,2016-03-21 06:00,110,5,7,0,3,2,2,0,0,0,1,0
2016-03-21T07:00,2016-03-21 07:00,376,6,15,0,3,0,2,0,0,0,1,0
2016-03-21T08:00,2016-03-21 08:00,590,6,13,0,3,0,2,0,0,0,1,0
2016-03-21T09:00,2016-03-21 09:00,479,7,19,0,3,0,0,0,0,0,1,0
2016-03-21T10:00,2016-03-21 10:00,383,7,13,0,3,0,0,0,0,0,1,0
2016-03-21T11:00,2016-03-21 11:00,412,9,19,0,3,0,0,0,0,0,1,0
2016-03-21T12:00,2016-03-21 12:00,440,9,19,0,3,0,0,0,0,0,1,0
2016-03-21T13:00,2016-03-21 13:00,484,9,20,0,3,0,0,0,0,0,1,0
2016-03-21T14:00,2016-03-21 14:00,464,8,22,0,3,0,0,0,0,0,1,0
2016-03-21T15:00,2016-03-21 15:00,528,8,24,0,3,0,0,0,0,0,1,0
2016-03-21T16:00,2016-03-21 16:00,631,8,22,0,3,0,0,0,0,0,1,0
2016-03-21T17:00,2016-03-21 17:00,756,8,20,0,3,0,0,0,0,0,1,0
2016-03-21T18:00,2016-03-21 18:00,653,7,9,0,3,0,0,0,0,0,1,0
2016-03-21T19:00,2016-03-21 19:00,417,7,20,0,3,2,2,0,0,0,1,0
2016-03-21T20:00,2016-03-21 20:00,312,6,11,0,3,2,0,0,0,0,1,0
2016-03-21T21:00,2016-03-21 21:00,217,6,15,0,3,2,0,0,0,0,1,0
2016-03-21T22:00,2016-03-21 22:00,205,6,17,0,3,2,0,0,0,0,1,0
2016-03-21T23:00,2016-03-21 23:00,155,6,13,0,3,2,0,0,0,0,1,0
2016-03-22T00:00,2016-03-22 00:00,77,6,13,1,3,2,0,0,0,0,1,0
2016-03-22T01:00,2016-03-22 01:00,55,6,15,1,3,2,0,0,0,0,1,0
2016-03-22T02:00,2016-03-22 02:00,9,6,13,1,3,2,2,0,0,0,1,0
2016-03-22T03:00,2016-03-22 03:00,16,5,13,1,3,2,0,0,0,0,1,0
2016-03-22T04:00,2016-03-22 04:00,16,5,15,1,3,2,0,0,0,0,1,0
2016-03-22T05:00,2016-03-22 05:00,43,5,13,1,3,2,0,0,0,0,1,0
2016-03-22T06:00,2016-03-22 06:00,127,6,11,1,3,1,2,0,0,0,1,0
2016-03-22T07:00,2016-03-22 07:00,389,6,13,1,3,0,2,0,0,0,1,0
2016-03-22T08:00,2016-03-22 08:00,624,6,15,1,3,0,0,0,0,0,1,0
2016-03-22T09:00,2016-03-22 09:00,539,7,13,1,3,0,0,0,0,0,1,0
2016-03-22T10:00,2016-03-22 10:00,453,8,15,1,3,0,0,0,0,0,1,0
2016-03-22T11:00,2016-03-22 11:00,443,8,17,1,3,0,2,0,0,0,1,0
2016-03-22T12:00,2016-03-22 12:00,494,8,11,1,3,0,2,0,0,0,1,0
2016-03-22T13:00,2016-03-22 13:00,494,8,13,1,3,0,2,0,0,0,1,0
2016-03-22T14:00,2016-03-22 14:00,542,9,7,1,3,0,2,0,0,0,1,0
2016-03-22T15:00,2016-03-22 15:00,550,8,9,1,3,0,2,0,0,0,1,0
2016-03-22T16:00,2016-03-22 16:00,634,8,9,1,3,0,2,0,0,0,1,0
2016-03-22T17:00,2016-03-22 17:00,753,8,13,1,3,0,2,0,0,0,1,0
2016-03-22T18:00,2016-03-22 18:00,616,7,17,1,3,0,2,0,0,0,1,0
2016-03-22T19:00,2016-03-22 19:00,495,7,11,1,3,2,2,0,0,0,1,0
2016-03-22T20:00,2016-03-22 20:00,374,7,11,1,3,2,2,0,0,0,1,0
2016-03-22T21:00,2016-03-22 21:00,261,7,6,1,3,2,2,0,0,0,1,0
2016-03-22T22:00,2016-03-22 22:00,226,7,9,1,3,2,2,0,0,0,1,0
2016-03-22T23:00,2016-03-22 23:00,157,7,13,1,3,2,2,0,0,0,1,0
2016-03-23T00:00,2016-03-23 00:00,97,6,13,2,3,2,2,0,0,0,1,0
2016-03-23T01:00,2016-03-23 01:00,43,7,11,2,3,2,0,0,0,0,1,0
2016-03-23T02:00,2016-03-23 02:00,30,6,9,2,3,2,2,0,0,0,1,0
2016-03-23T03:00,2016-03-23 03:00,26,6,13,2,3,2,2,0,0,0,1,0
2016-03-23T04:00,2016-03-23 04:00,20,6,7,2,3,2,2,0,0,0,1,0
2016-03-23T05:00,2016-03-23 05:00,43,6,9,2,3,2,0,0,0,0,1,0
2016-03-23T06:00,2016-03-23 06:00,108,6,11,2,3,1,2,0,0,0,1,0
2016-03-23T07:00,2016-03-23 07:00,375,6,11,2,3,0,0,0,0,0,1,0
2016-03-23T08:00,2016-03-23 08:00,606,6,11,2,3,0,2,0,0,0,1,0
2016-03-23T09:00,2016-03-23 09:00,603,7,13,2,3,0,0,0,0,0,1,0
2016-03-23T10:00,2016-03-23 10:00,482,7,11,2,3,0,0,0,0,0,1,0
2016-03-23T11:00,2016-03-23 11:00,540,8,20,2,3,0,0,0,0,0,1,0
2016-03-23T12:00,2016-03-23 12:00,495,8,13,2,3,0,0,0,0,0,1,0
2016-03-23T13:00,2016-03-23 13:00,513,8,15,2,3,0,0,0,0,0,1,0
2016-03-23T14:00,2016-03-23 14:00,505,9,20,2,3,0,0,0,0,0,1,0
2016-03-23T15:00,2016-03-23 15:00,589,9,13,2,3,0,0,0,0,0,1,0
2016-03-23T16:00,2016-03-23 16:00,640,9,19,2,3,0,0,0,0,0,1,0
2016-03-23T17:00,2016-03-23 17:00,785,8,15,2,3,0,0,0,0,0,1,0
2016-03-23T18:00,2016-03-23 18:00,742,8,11,2,3,0,0,0,0,0,1,0
2016-03-23T19:00,2016-03-23 19:00,564,7,7,2,3,2,0,0,0,0,1,0
2016-03-23T20:00,2016-03-23 20:00,422,6,13,2,3,2,0,0,0,0,1,0
2016-03-23T21:00,2016-03-23 21:00,262,5,7,2,3,2,0,0,0,0,1,0
2016-03-23T22:00,2016-03-23 22:00,266,5,7,2,3,2,0,0,0,0,1,0
2016-03-23T23:00,2016-03-23 23:00,252,4,6,2,3,2,0,0,0,0,1,0
2016-03-24T00:00,2016-03-24 00:00,150,3,4,3,3,2,0,0,0,0,1,0
2016-03-24T01:00,2016-03-24 01:00,121,3,6,3,3,2,0,0,0,0,1,0
2016-03-24T02:00,2016-03-24 02:00,88,3,6,3,3,2,0,0,0,0,1,0
2016-03-24T03:00,2016-03-24 03:00,81,3,7,3,3,2,0,0,0,0,1,0
2016-03-24T04:00,2016-03-24 04:00,50,2,6,3,3,2,0,0,0,0,1,0
2016-03-24T05:00,2016-03-24 05:00,57,1,2,3,3,2,0,0,0,0,1,0
2016-03-24T06:00,2016-03-24 06:00,110,2,0,3,3,1,0,0,0,0,1,0
2016-03-24T07:00,2016-03-24 07:00,377,4,4,3,3,0,0,0,0,0,1,0
2016-03-24T08:00,2016-03-24 08:00,477,5,6,3,3,0,0,0,0,0,1,0
2016-03-24T09:00,2016-03-24 09:00,439,5,7,3,3,0,0,0,0,0,1,0
2016-03-24T10:00,2016-03-24 10:00,380,6,6,3,3,0,0,0,0,0,1,0
2016-03-24T11:00,2016-03-24 11:00,412,6,9,3,3,0,2,0,0,0,1,0
2016-03-24T12:00,2016-03-24 12:00,500,7,9,3,3,0,2,0,0,0,1,0
2016-03-24T13:00,2016-03-24 13:00,491,8,15,3,3,0,0,0,0,0,1,0
2016-03-24T14:00,2016-03-24 14:00,567,8,13,3,3,0,0,0,0,0,1,0
2016-03-24T15:00,2016-03-24 15:00,541,8,13,3,3,0,0,0,0,0,1,0
2016-03-24T16:00,2016-03-24 16:00,566,8,9,3,3,0,0,0,0,0,1,0
2016-03-24T17:00,2016-03-24 17:00,653,8,7,3,3,0,0,0,0,0,1,0
2016-03-24T18:00,2016-03-24 18:00,604,8,13,3,3,0,0,0,0,0,1,0
2016-03-24T19:00,2016-03-24 19:00,416,8,11,3,3,2,2,0,0,0,1,0
2016-03-24T20:00,2016-03-24 20:00,294,8,13,3,3,2,2,0,0,0,1,0
2016-03-24T21:00,2016-03-24 21:00,215,7,11,3,3,2,2,0,0,0,1,0
2016-03-24T22:00,2016-03-24 22:00,144,7,11,3,3,2,2,0,0,0,1,0
2016-03-24T23:00,2016-03-24 23:00,130,6,9,3,3,2,2,0,0,0,1,0
2016-03-26T00:00,2016-03-26 00:00,61,7,6,5,3,2,0,0,0,0,1,0
2016-03-26T01:00,2016-03-26 01:00,53,6,7,5,3,2,0,0,0,0,1,0
