timestamp,ds,y,Temperatur_C,Windstaerke _km_h,Wochentag,Monate,dunkel,Regen,Schnee,Gewitter,Glätte,ferien,feiertag
2017-04-10T00:00,2017-04-10 00:00,21,7,4,0,4,2,0,0,0,0,1,0
2017-04-10T01:00,2017-04-10 01:00,9,6,7,0,4,2,0,0,0,0,1,0
2017-04-10T02:00,2017-04-10 02:00,1,6,6,0,4,2,0,0,0,0,1,0
2017-04-10T03:00,2017-04-10 03:00,3,5,7,0,4,2,0,0,0,0,1,0
2017-04-10T04:00,2017-04-10 04:00,6,10,7,0,4,2,0,0,0,0,1,0
2017-04-10T05:00,2017-04-10 05:00,39,7,6,0,4,2,0,0,0,0,1,0
2017-04-10T06:00,2017-04-10 06:00,147,10,13,0,4,2,0,0,0,0,1,0
2017-04-10T07:00,2017-04-10 07:00,421,10,13,0,4,0,0,0,0,0,1,0
2017-04-10T08:00,2017-04-10 08:00,509,11,15,0,4,0,0,0,0,0,1,0
2017-04-10T09:00,2017-04-10 09:00,457,11,19,0,4,0,0,0,0,0,1,0
2017-04-10T10:00,2017-04-10 10:00,380,11,17,0,4,0,0,0,0,0,1,0
2017-04-10T11:00,2017-04-10 11:00,402,10,19,0,4,0,0,0,0,0,1,0
2017-04-10T12:00,2017-04-10 12:00,404,10,17,0,4,0,2,0,0,0,1,0
2017-04-10T13:00,2017-04-10 13:00,432,12,19,0,4,0,0,0,0,0,1,0
2017-04-10T14:00,2017-04-10 14:00,485,12,20,0,4,0,0,0,0,0,1,0
2017-04-10T15:00,2017-04-10 15:00,511,13,22,0,4,0,0,0,0,0,1,0
2017-04-10T16:00,2017-04-10 16:00,654,13,20,0,4,0,0,0,0,0,1,0
2017-04-10T17:00,2017-04-10 17:00,770,12,20,0,4,0,0,0,0,0,1,0
2017-04-10T18:00,2017-04-10 18:00,606,11,20,0,4,0,0,0,0,0,1,0
2017-04-10T19:00,2017-04-10 19:00,431,11,15,0,4,0,0,0,0,0,1,0
2017-04-10T20:00,2017-04-10 20:00,221,10,19,0,4,0,0,0,0,0,1,0
2017-04-10T21:00,2017-04-10 21:00,159,9,17,0,4,2,0,0,0,0,1,0
2017-04-10T22:00,2017-04-10 22:00,141,8,19,0,4,2,0,0,0,0,1,0
2017-04-10T23:00,2017-04-10 23:00,78,7,15,0,4,2,0,0,0,0,1,0
2017-04-11T00:00,2017-04-11 00:00,46,5,11,1,4,2,0,0,0,0,1,0
2017-04-11T01:00,2017-04-11 01:00,19,4,9,1,4,2,0,0,0,0,1,0
2017-04-11T02:00,2017-04-11 02:00,5,4,9,1,4,2,0,0,0,0,1,0
2017-04-11T03:00,2017-04-11 03:00,9,3,9,1,4,2,0,0,0,0,1,0
2017-04-11T04:00,2017-04-11 04:00,6,4,9,1,4,2,0,0,0,0,1,0
