timestamp,ds,y,Temperatur_C,Windstaerke _km_h,Wochentag,Monate,dunkel,Regen,Schnee,Gewitter,Glätte,ferien,feiertag
2016-03-21T00:00,2016-03-21 00:00,31,6,13,0,3,2,2,0,0,0,1,0
2016-03-21T01:00,2016-03-21 01:00,10,6,13,0,3,2,0,0,0,0,1,0
2016-03-21T02:00,2016-03-21 02:00,2,6,11,0,3,2,2,0,0,0,1,0
2016-03-21T03:00,2016-03-21 03:00,5,6,13,0,3,2,0,0,0,0,1,0
2016-03-21T04:00,2016-03-21 04:00,16,6,11,0,3,2,0,0,0,0,1,0
2016-03-21T05:00,2016-03-21 05:00,62,5,9,0,3,2,2,0,0,0,1,0
2016-03-21T06:00,2016-03-21 06:00,214,5,7,0,3,2,2,0,0,0,1,0
2016-03-21T07:00,2016-03-21 07:00,505,6,15,0,3,0,2,0,0,0,1,0
2016-03-21T08:00,2016-03-21 08:00,597,6,13,0,3,0,2,0,0,0,1,0
2016-03-21T09:00,2016-03-21 09:00,457,7,19,0,3,0,0,0,0,0,1,0
2016-03-21T10:00,2016-03-21 10:00,394,7,13,0,3,0,0,0,0,0,1,0
2016-03-21T11:00,2016-03-21 11:00,429,9,19,0,3,0,0,0,0,0,1,0
2016-03-21T12:00,2016-03-21 12:00,469,9,19,0,3,0,0,0,0,0,1,0
2016-03-21T13:00,2016-03-21 13:00,475,9,20,0,3,0,0,0,0,0,1,0
2016-03-21T14:00,2016-03-21 14:00,510,8,22,0,3,0,0,0,0,0,1,0
2016-03-21T15:00,2016-03-21 15:00,598,8,24,0,3,0,0,0,0,0,1,0
2016-03-21T16:00,2016-03-21 16:00,726,8,22,0,3,0,0,0,0,0,1,0
2016-03-21T17:00,2016-03-21 17:00,796,8,20,0,3,0,0,0,0,0,1,0
2016-03-21T18:00,2016-03-21 18:00,677,7,9,0,3,0,0,0,0,0,1,0
2016-03-21T19:00,2016-03-21 19:00,487,7,20,0,3,2,2,0,0,0,1,0
2016-03-21T20:00,2016-03-21 20:00,273,6,11,0,3,2,0,0,0,0,1,0
2016-03-21T21:00,2016-03-21 21:00,219,6,15,0,3,2,0,0,0,0,1,0
2016-03-21T22:00,2016-03-21 22:00,169,6,17,0,3,2,0,0,0,0,1,0
2016-03-21T23:00,2016-03-21 23:00,87,6,13,0,3,2,0,0,0,0,1,0
2016-03-22T00:00,2016-03-22 00:00,59,6,13,1,3,2,0,0,0,0,1,0
2016-03-22T01:00,2016-03-22 01:00,19,6,15,1,3,2,0,0,0,0,1,0
2016-03-22T02:00,2016-03-22 02:00,8,6,13,1,3,2,2,0,0,0,1,0
2016-03-22T03:00,2016-03-22 03:00,9,5,13,1,3,2,0,0,0,0,1,0
2016-03-22T04:00,2016-03-22 04:00,9,5,15,1,3,2,0,0,0,0,1,0
2016-03-22T05:00,2016-03-22 05:00,72,5,13,1,3,2,0,0,0,0,1,0
2016-03-22T06:00,2016-03-22 06:00,237,6,11,1,3,1,2,0,0,0,1,0
2016-03-22T07:00,2016-03-22 07:00,516,6,13,1,3,0,2,0,0,0,1,0
2016-03-22T08:00,2016-03-22 08:00,630,6,15,1,3,0,0,0,0,0,1,0
2016-03-22T09:00,2016-03-22 09:00,481,7,13,1,3,0,0,0,0,0,1,0
2016-03-22T10:00,2016-03-22 10:00,388,8,15,1,3,0,0,0,0,0,1,0
2016-03-22T11:00,2016-03-22 11:00,434,8,17,1,3,0,2,0,0,0,1,0
2016-03-22T12:00,2016-03-22 12:00,426,8,11,1,3,0,2,0,0,0,1,0
2016-03-22T13:00,2016-03-22 13:00,488,8,13,1,3,0,2,0,0,0,1,0
2016-03-22T14:00,2016-03-22 14:00,493,9,7,1,3,0,2,0,0,0,1,0
